database,period
"Age of Exploration, 1410-1920",Medieval
"American History, 1493-1945",Medieval
"Medieval Family Life, c1400-1490",Medieval
"Medieval Travel Writing, 13th-16th cent",Medieval
NBC News Archives from Getty Images  [open access],Medieval
Early American Case Law 1671-1926,Medieval
Gun Regulation and Legislation in America 1750-2025,Medieval
State Statutes: A Historical Archive 1612-2002,Medieval
Audio Archive [Internet Archive]. [open access] 20th-21st cent.,Medieval
Books [Internet Archive]. [open access],Medieval
Moving Image Archive [Internet Archive]. [open access],Medieval
Collections on JSTOR 19th-21st cent.,Medieval
"Colonial State Papers, 1574-1757",Medieval
"Digital National Security Archive, 1945-",Medieval
Civil War PhotoSleuth   [open access],Medieval
"African American Communities, 1863-1986",Early Modern
"Age of Exploration, 1410-1920",Early Modern
"American History, 1493-1945",Early Modern
"Indigenous Histories and Cultures in North America, 17th-mid-20th cent",Early Modern
"China: Culture and Society, c1750-1929",Early Modern
"Colonial America, 1606-1822",Early Modern
"Defining Gender, 1450-1910, Online",Early Modern
Early America Sources 1500-1900,Early Modern
"East India Company [UK], 1599-1947   ",Early Modern
"Eighteenth Century Drama: Censorship and the Stage, 1737-1824",Early Modern
"Eighteenth Century Journals, c. 1685-1835.",Early Modern
"Empire Online, late 15th-early 21st cent",Early Modern
"Food and Drink in History, 1514-2010",Early Modern
"Frontier Life: Borderland and Colonial Encounters, 1650-1920",Early Modern
"India, Raj & Empire, 1615-1947 ",Early Modern
"Jewish Life in America, c 1654-1954",Early Modern
Literary Manuscripts: 17th and 18th Century Poetry [Berg],Early Modern
Literary Manuscripts: 17th and 18th Century Poetry [Leeds],Early Modern
"Literary Print Culture: The Stationers' Company Archive, 1554-1984 ",Early Modern
"Medieval Family Life, c1400-1490",Early Modern
"Medieval Travel Writing, 13th-16th cent",Early Modern
Mexico in History 1500-1920,Early Modern
"Perdita Manuscripts, 1500-1700",Early Modern
"Shakespeare in Performance: The Folger Shakespeare Library Prompt Books, 1670S-1970s",Early Modern
"Slavery, Abolition and Social Justice, 1490-2007",Early Modern
The Grand Tour 1550-1850,Early Modern
"Trade Catalogues and the American Home, 1850-1950 ",Early Modern
"Virginia Company Archives, 1590-1790 ",Early Modern
Women's Voices and Life Writing 1600-1968,Early Modern
Newspapers.com World Edition 1690-2025,Early Modern
Canadiana [open access] 1500-2000,Early Modern
South Asia Commons 17th-21st cent,Early Modern
Digital Virginias  [open access] 16th-21st cent,Early Modern
Europeana portal [open access] 1680-1989,Early Modern
Europeana: Newspapers [open access] 1680-1989,Early Modern
American Historical Periodicals from the American Antiquarian Society 1681-1926,Early Modern
Brazilian and Portuguese History and Culture 1500-1930,Early Modern
"Europe and Africa: Commerce, Christianity, Civilization, and Conquest 18th-20th cent.",Early Modern
History of Disabilities 1648-2000,Early Modern
Indigenous Peoples of North America 1665-1988,Early Modern
Making of the Modern World 1468-1993,Early Modern
Mountain People: Life and Culture in Appalachia [in Archives Unbound] 1700-1950,Early Modern
"Sabin Americana: History of the Americas, 1500-1926",Early Modern
Seventeenth and Eighteenth Century Burney Newspapers Collection 1604-1804,Early Modern
Seventeenth and Eighteenth Century Nichols Newspapers Collection 1672-1738,Early Modern
Canada Supreme Court Reports 1888-1969,Early Modern
COVID-19: Pandemics Past and Present 1800-2021,Early Modern
Early American Case Law 1671-1926,Early Modern
Gun Regulation and Legislation in America 1750-2025,Early Modern
John F. Kennedy Assassination Collection 20th cent.,Early Modern
Labor and Employment: The American Worker 1798-2025,Early Modern
Legal Classics 1506-2025,Early Modern
Reports of US Presidential Commissions and Other Advisory Bodies 1775-2025,Early Modern
Session Laws Library 1636-2025,Early Modern
"Slavery in America and the World: History, Culture & Law 1656-2025",Early Modern
State Statutes: A Historical Archive 1612-2002,Early Modern
US Presidential Library 1789-2025,Early Modern
US Treaties and Agreements Library 1686-2025,Early Modern
West Academic Casebooks Archive 1888-2020,Early Modern
Women and the Law [Peggy] 1584-2025,Early Modern
World Constitutions Illustrated 1479-2024,Early Modern
Audio Archive [Internet Archive]. [open access] 20th-21st cent.,Early Modern
Books [Internet Archive]. [open access],Early Modern
Moving Image Archive [Internet Archive]. [open access],Early Modern
