database,url,link
"African American Communities, 1863-1986",http://www.aac.amdigital.co.uk.ezproxy.lib.vt.edu/,"<a href='http://www.aac.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>African American Communities, 1863-1986</a>"
"Age of Exploration, 1410-1920",https://guides.lib.vt.edu/age-exploration,"<a href='https://guides.lib.vt.edu/age-exploration' target = '_blank'>Age of Exploration, 1410-1920</a>"
America in World War II:  Oral Histories and Personal Accounts,https://guides.lib.vt.edu/america-ww2-oral-histories,<a href='https://guides.lib.vt.edu/america-ww2-oral-histories' target = '_blank'>America in World War II:  Oral Histories and Personal Accounts</a>
"American History, 1493-1945",https://guides.lib.vt.edu/american-history-1493-1945,"<a href='https://guides.lib.vt.edu/american-history-1493-1945' target = '_blank'>American History, 1493-1945</a>"
Amnisty International Archives 1961-1991,https://www-amnestyinternationalhumanrights-amdigital-co-uk.ezproxy.lib.vt.edu/,<a href='https://www-amnestyinternationalhumanrights-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Amnisty International Archives 1961-1991</a>
"Indigenous Histories and Cultures in North America, 17th-mid-20th cent",https://guides.lib.vt.edu/indigenous-histories-cultures-north-america,"<a href='https://guides.lib.vt.edu/indigenous-histories-cultures-north-america' target = '_blank'>Indigenous Histories and Cultures in North America, 17th-mid-20th cent</a>"
"Indigenous Newspapers in North America, 1826-2016",https://www-indigenousnewspapersinnorthamerica-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-indigenousnewspapersinnorthamerica-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Indigenous Newspapers in North America, 1826-2016</a>"
"American West, early 18th-mid-20th cent",https://www-americanwest-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-americanwest-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>American West, early 18th-mid-20th cent</a>"
"Apartheid South Africa, 1948 - 1994",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/Apartheid,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/Apartheid' target = '_blank'>Apartheid South Africa, 1948 - 1994</a>"
Broadcasting America 1910s-1986,https://www-broadcastingamerica-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=Kb8L8Ka2Nx%2fBHF%2bc4iBK4qeZZdr9n0A2KaAnlA1nxEx58%2fXCI%2fhCQETU6VoMvZqYbY4RiG8zgJFSs13CUoKlg%2bbepoQmkulI6H7yFhl1fLk%3d&returnURL=https%3a%2f%2fwww.broadcastingamerica.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJicm9hZGNhc3RpbmciLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjE1MiJ9LCJleHAiOjE3NDE1NTc4OTUsIm9pZCI6MjIxNjR9._tRWcW7uGIcsncR1XfMj8_CezwMX-YEgc3MmZvtK56U1910s-1986,<a href='https://www-broadcastingamerica-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=Kb8L8Ka2Nx%2fBHF%2bc4iBK4qeZZdr9n0A2KaAnlA1nxEx58%2fXCI%2fhCQETU6VoMvZqYbY4RiG8zgJFSs13CUoKlg%2bbepoQmkulI6H7yFhl1fLk%3d&returnURL=https%3a%2f%2fwww.broadcastingamerica.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJicm9hZGNhc3RpbmciLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjE1MiJ9LCJleHAiOjE3NDE1NTc4OTUsIm9pZCI6MjIxNjR9._tRWcW7uGIcsncR1XfMj8_CezwMX-YEgc3MmZvtK56U1910s-1986' target = '_blank'>Broadcasting America 1910s-1986</a>
